t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
212,2.39,2.28,2.21,2.29,2.31,2.37
213,2.39,2.28,2.2,2.29,2.32,2.37
214,2.39,2.28,2.21,2.29,2.31,2.37
215,2.39,2.28,2.21,2.29,2.32,2.36
216,2.39,2.28,2.2,2.3,2.31,2.37
217,2.39,2.28,2.2,2.3,2.31,2.38
218,2.39,2.28,2.2,2.29,2.33,2.36
219,2.39,2.28,2.2,2.29,2.33,2.36
220,2.39,2.28,2.2,2.3,2.31,2.37
221,2.39,2.28,2.2,2.3,2.32,2.36
222,2.39,2.28,2.2,2.3,2.31,2.37
223,2.39,2.28,2.21,2.29,2.32,2.36
224,2.39,2.28,2.2,2.3,2.31,2.37
225,2.39,2.28,2.2,2.29,2.32,2.38
226,2.39,2.28,2.2,2.29,2.32,2.37
227,2.39,2.28,2.2,2.3,2.31,2.37
228,2.39,2.28,2.2,2.29,2.32,2.37
229,2.39,2.28,2.2,2.29,2.32,2.37
230,2.39,2.28,2.2,2.3,2.31,2.37
231,2.39,2.28,2.2,2.3,2.32,2.36
232,2.39,2.28,2.2,2.3,2.31,2.37
233,2.39,2.28,2.2,2.29,2.32,2.37
234,2.39,2.28,2.2,2.29,2.32,2.37
235,2.39,2.28,2.2,2.3,2.31,2.37
