t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
312,1.32,2.29,2.21,2.3,2.33,2.37
313,1.32,2.29,2.21,2.3,2.34,2.37
314,1.32,2.29,2.21,2.3,2.34,2.37
315,1.32,2.3,2.2,2.31,2.33,2.37
316,1.32,2.3,2.2,2.31,2.33,2.37
317,1.33,2.29,2.21,2.3,2.33,2.38
318,1.33,2.29,2.21,2.3,2.34,2.37
319,1.33,2.29,2.21,2.3,2.34,2.37
320,1.33,2.29,2.21,2.31,2.33,2.37
321,1.33,2.3,2.2,2.31,2.33,2.37
322,1.34,2.29,2.21,2.3,2.33,2.38
323,1.34,2.29,2.21,2.3,2.33,2.38
324,1.34,2.29,2.21,2.3,2.34,2.37
325,1.34,2.29,2.21,2.31,2.33,2.37
326,1.34,2.3,2.2,2.31,2.33,2.37
327,1.35,2.29,2.2,2.31,2.33,2.37
328,1.35,2.29,2.21,2.3,2.33,2.38
329,1.35,2.29,2.21,2.3,2.34,2.37
330,1.35,2.29,2.21,2.31,2.33,2.37
331,1.35,2.3,2.2,2.31,2.33,2.37
332,1.35,2.3,2.2,2.31,2.33,2.37
333,1.36,2.29,2.21,2.3,2.33,2.38
334,1.36,2.29,2.21,2.3,2.34,2.37
335,1.36,2.29,2.21,2.31,2.33,2.37
336,1.36,2.3,2.2,2.31,2.33,2.37
337,1.37,2.29,2.2,2.31,2.33,2.37
338,1.37,2.29,2.21,2.3,2.33,2.37
339,1.37,2.29,2.21,2.3,2.34,2.37
340,1.37,2.29,2.21,2.3,2.34,2.37
341,1.37,2.29,2.21,2.31,2.33,2.37
342,1.37,2.3,2.2,2.31,2.33,2.37
343,1.38,2.29,2.21,2.3,2.33,2.37
344,1.38,2.29,2.21,2.3,2.33,2.38
345,1.38,2.29,2.21,2.3,2.34,2.37
346,1.38,2.29,2.21,2.31,2.33,2.37
347,1.38,2.3,2.2,2.31,2.33,2.37
348,1.39,2.29,2.21,2.3,2.33,2.37
349,1.39,2.29,2.21,2.3,2.33,2.37
350,1.39,2.29,2.21,2.3,2.34,2.37
351,1.39,2.29,2.21,2.31,2.33,2.37
352,1.4,2.29,2.2,2.31,2.33,2.37
353,1.4,2.29,2.2,2.31,2.33,2.37
354,1.4,2.29,2.21,2.3,2.33,2.38
355,1.4,2.29,2.21,2.3,2.33,2.38
356,1.4,2.29,2.21,2.31,2.33,2.37
357,1.4,2.29,2.21,2.31,2.33,2.37
358,1.41,2.29,2.2,2.31,2.33,2.37
359,1.41,2.29,2.21,2.3,2.33,2.38
360,1.41,2.29,2.21,2.3,2.33,2.38
361,1.41,2.29,2.21,2.3,2.34,2.37
362,1.41,2.29,2.21,2.31,2.33,2.37
363,1.42,2.29,2.2,2.31,2.33,2.37
364,1.42,2.29,2.21,2.3,2.33,2.38
365,1.42,2.29,2.21,2.3,2.33,2.38
366,1.42,2.29,2.21,2.3,2.33,2.38
367,1.42,2.3,2.2,2.31,2.33,2.37
368,1.43,2.29,2.2,2.31,2.33,2.37
369,1.43,2.29,2.21,2.3,2.33,2.37
370,1.43,2.29,2.21,2.3,2.33,2.38
371,1.43,2.29,2.21,2.3,2.33,2.38
372,1.43,2.29,2.21,2.3,2.34,2.37
373,1.44,2.29,2.2,2.31,2.33,2.37
374,1.44,2.29,2.2,2.31,2.33,2.37
375,1.44,2.29,2.21,2.3,2.33,2.38
376,1.44,2.29,2.21,2.3,2.33,2.38
377,1.44,2.29,2.21,2.3,2.34,2.37
378,1.45,2.29,2.2,2.31,2.33,2.37
379,1.45,2.29,2.2,2.31,2.33,2.37
380,1.45,2.29,2.21,2.3,2.33,2.37
381,1.45,2.29,2.21,2.3,2.33,2.38
382,1.45,2.29,2.21,2.3,2.34,2.37
383,1.45,2.3,2.2,2.3,2.34,2.37
384,1.46,2.29,2.2,2.31,2.33,2.37
385,1.46,2.29,2.21,2.3,2.33,2.37
386,1.46,2.29,2.21,2.3,2.33,2.38
387,1.46,2.29,2.21,2.3,2.33,2.38
388,1.46,2.3,2.2,2.3,2.34,2.37
389,1.47,2.29,2.2,2.3,2.34,2.37
390,1.47,2.29,2.21,2.29,2.34,2.37
391,1.47,2.29,2.21,2.3,2.33,2.38
392,1.47,2.29,2.21,2.3,2.33,2.38
393,1.47,2.3,2.2,2.3,2.34,2.37
394,1.47,2.3,2.2,2.3,2.34,2.37
395,1.48,2.29,2.21,2.29,2.34,2.37
396,1.48,2.29,2.21,2.29,2.34,2.37
397,1.48,2.29,2.21,2.3,2.33,2.38
398,1.48,2.3,2.2,2.3,2.33,2.38
399,1.49,2.29,2.2,2.3,2.34,2.37
400,1.49,2.29,2.2,2.3,2.34,2.37
401,1.49,2.29,2.21,2.29,2.34,2.37
402,1.49,2.29,2.21,2.3,2.33,2.38
403,1.49,2.3,2.2,2.3,2.34,2.37
404,1.5,2.29,2.2,2.3,2.34,2.37
405,1.5,2.29,2.2,2.3,2.34,2.37
406,1.5,2.29,2.21,2.29,2.34,2.37
407,1.5,2.29,2.21,2.29,2.34,2.38
408,1.5,2.3,2.2,2.3,2.33,2.38
409,1.51,2.29,2.2,2.3,2.34,2.37
410,1.51,2.29,2.2,2.3,2.34,2.37
411,1.51,2.29,2.21,2.29,2.34,2.37
412,1.51,2.29,2.21,2.3,2.33,2.37
413,1.51,2.3,2.2,2.3,2.33,2.37
414,1.52,2.29,2.2,2.3,2.34,2.37
415,1.52,2.29,2.2,2.3,2.34,2.37
